Star_ID,ID,Label,X,Y,Z,Luminosity,colorb_v,absmag,appmag,texnum,Distance (light-years),dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,created_at,updated_at,constellation_id,constellation_name,constellation_galaxy
143205,143205,HIP105199 HD203280 Gli Alp Cep  Alderamin,-2.8178,14.4985,2.3848,18.19395,0.192,1.58,2.45,1,48.77,1,66.84,0.73,-7.591,-13.245,-7.434,16.98,105199,03:42.4,03:42.4,35,Upper part,Cep
64730,64730,HIP12706 HD16970 Gli Gam Cet  Kaffaljidhm,-16.0603,3.1453,-19.0815,20.07569,0.095,1.47,3.47,1,81.95,1,39.78,2.39,12.489,3.104,-19.148,23.071,12706,50:57.1,50:57.1,36,the whole damn whale,Cet
65976,65976,HIP14135 HD18884 Gli Alp Cet  Menkar,-46.8938,5.4956,-48.2062,340.64627,1.542,-1.61,2.54,1,219.97,1,14.82,5.6,16.77,-12.19,-4.915,21.306,14135,51:12.5,51:12.5,36,the whole damn whale,Cet
65824,65824,HIP13954 HD18604 Gli Lam Cet,-93.98,19.6232,-87.7088,171.45389,-0.083,-0.86,4.71,1,423.93,1,7.69,9.88,-12.636,-6.597,-12.468,18.938,13954,51:10.2,51:10.2,36,the whole damn whale,Cet
64837,64837,HIP12828 HD17094 Gli Mu Cet,-17.8861,5.3818,-17.8458,10.14738,0.291,2.21,4.27,1,84.22,1,38.71,3.38,-45.798,-18.252,-11.255,50.569,12828,50:59.1,50:59.1,36,the whole damn whale,Cet
63680,63680,HIP11484 HD15318 Gli Xi2 Cet,-34.2642,12.6808,-39.7183,43.07735,-0.005,0.64,4.3,1,175.93,1,18.53,9.44,-15.414,-5.748,-8.431,18.485,11484,50:45.8,50:45.8,36,the whole damn whale,Cet
64208,64208,HIP12093 HD16161 Gli Nu Cet,-72.5551,20.1507,-85.6238,113.76294,0.82,-0.42,4.87,1,371.72,1,8.77,12.66,4.701,6.302,-22.472,23.808,12093,50:51.2,50:51.2,36,the whole damn whale,Cet
64466,64466,HIP12387 HD16582 Gli Del Cet,-120.0012,19.513,-156.801,713.08118,-0.196,-2.41,4.08,1,646.83,1,5.04,16.47,-16.887,-8.984,-6.801,20.301,12387,50:54.0,50:54.0,36,the whole damn whale,Cet
63108,63108,HIP10826 HD14386 Gli Omi Cet  Mira,-66.5112,14.4355,-108.8423,33.03126,1.748,0.93,6.47,1,418.49,1,7.79,13.74,-41.577,-62.057,-186.894,201.269,10826,50:39.5,50:39.5,36,the whole damn whale,Cet
61247,61247,HIP8645 HD11353 Gli Zet Cet  Baten Kaitos,-28.796,7.2425,-73.6693,156.29623,0.991,-0.76,3.74,1,258.94,1,12.59,6.75,-13.402,-14.718,-18.48,27.162,8645,50:22.1,50:22.1,36,the whole damn whale,Cet
59436,59436,HIP6537 HD8512 Gli The Cet,-10.2443,6.7564,-32.8981,34.74723,0.902,0.87,3.6,1,114.47,1,28.48,2.7,9.96,-1.632,-50.617,51.613,6537,50:02.9,50:02.9,36,the whole damn whale,Cet
58419,58419,HIP5364 HD6805 Gli Eta Cet,-7.917,7.3416,-34.4077,41.69656,0.991,0.67,3.46,1,117.56,1,27.73,2.56,-29.272,-27.726,-30.843,50.763,5364,49:52.6,49:52.6,36,the whole damn whale,Cet
55149,55149,HIP1562 HD1522 Gli Iot Cet,-4.6977,29.725,-83.5558,230.63394,0.991,-1.18,3.56,1,289.52,1,11.26,6.48,8.945,5.117,-32.595,34.185,1562,49:22.5,49:22.5,36,the whole damn whale,Cet
56739,56739,HIP3419 HD4128 Gli Bet Cet  Diphda,-1.7302,4.4312,-28.9895,102.33422,0.902,-0.3,2.04,1,95.77,1,34.04,2.41,-30.099,-13.857,-9.976,34.604,3419,49:37.1,49:37.1,36,the whole damn whale,Cet
60780,60780,HIP8102 HD10700 Gli Tau Cet,-1.0322,0.1246,-3.496,0.41492,0.82,5.68,3.49,1,11.89,1,274.17,0.29,26.011,24.939,23.286,42.904,8102,50:17.7,50:17.7,36,the whole damn whale,Cet
88479,88479,HIP40702 HD71243 Gli Alp Cha,6.1418,-17.0036,-7.1877,7.04813,0.396,2.6,4.05,1,63.42,1,51.4,0.95,-2.709,18.432,17.739,25.725,40702,54:47.9,54:47.9,37,Chamaeleon,Cha
98113,98113,HIP51839 HD92305 Gli Gam Cha,53.5121,-108.3624,-38.1807,283.03879,1.416,-1.4,4.11,1,413.18,1,7.89,6.21,-32.382,19.76,-2.021,37.989,51839,56:30.6,56:30.6,37,Chamaeleon,Cha
105029,105029,HIP60000 HD106911 Gli Bet Cha,41.3724,-67.9478,-23.6295,107.65296,-0.11,-0.36,4.24,1,270.54,1,12.05,4.23,-3.923,-22.859,-6.863,24.188,60000,57:34.5,57:34.5,37,Chamaeleon,Cha
98781,98781,HIP52633 HD93845 Gli Del2 Cha,49.0663,-93.3198,-36.2259,160.1088,-0.181,-0.79,4.45,1,363.43,1,8.97,5.02,-8.437,-22.025,-15.559,28.255,52633,56:37.1,56:37.1,37,Chamaeleon,Cha
88640,88640,HIP40888 HD71701 Gli The Cha,15.2895,-40.9851,-17.5286,31.65988,0.902,0.97,4.34,1,153.63,1,21.22,2.21,-12.745,-7.366,-28.659,32.219,40888,54:49.4,54:49.4,37,Chamaeleon,Cha
117592,117592,HIP74824 HD135379 Gli Bet Cir,22.9863,-18.6871,-0.5786,16.04916,0.095,1.71,4.07,1,96.59,1,33.75,2.22,12.892,-29.502,2.49,32.292,74824,59:29.7,59:29.7,38,Circinus,Cir
115101,115101,HIP71908 HD128898 Gli Alp Cir,11.4255,-11.6937,-1.3129,11.16266,0.291,2.11,3.18,1,53.47,1,60.97,0.95,6.775,-29.266,0.652,30.047,71908,59:07.5,59:07.5,38,Circinus,Cir
118022,118022,HIP75323 HD136415 Gli Gam Cir,121.7765,-97.7544,-5.3518,305.94266,-0.11,-1.49,4.48,1,509.37,1,6.4,15.47,0.705,-14.077,-2.18,14.262,75323,59:33.7,59:33.7,38,Circinus,Cir
79921,79921,HIP30277 HD44762 Gli Del Col,-33.0535,-59.6947,-25.1648,118.41171,0.781,-0.46,3.85,1,237.09,1,13.75,4.36,0.333,-10.459,-15.034,18.318,30277,53:29.1,53:29.1,39,wings,Col
79501,79501,HIP29807 HD43785 Gli Kap Col,-24.1537,-46.0974,-20.909,43.62118,0.82,0.63,4.37,1,182.84,1,17.83,3.08,-11.359,0.656,1.985,11.55,29807,53:25.2,53:25.2,39,wings,Col
78151,78151,HIP28199 HD40494 Gli Gam Col,-113.6029,-206.8673,-113.2658,959.12073,-0.181,-2.73,4.36,1,853.4,1,3.82,14.14,-11.292,-5.59,-6.514,14.184,28199,53:13.0,53:13.0,39,wings,Col
77681,77681,HIP27628 HD39425 Gli Bet Col  Wezn,-11.2568,-20.5973,-11.9895,30.4653,0.968,1.02,3.12,1,85.93,1,37.94,1.5,-40.42,-30.452,-8.872,51.379,27628,53:08.6,53:08.6,39,wings,Col
76843,76843,HIP26634 HD37795 Gli Alp Col  Phact,-37.3018,-61.6134,-39.6896,457.22806,-0.056,-1.93,2.65,1,268.09,1,12.16,4.93,-16.071,-34.918,-22.404,44.491,26634,53:00.6,53:00.6,39,wings,Col
76193,76193,HIP25859 HD36597 Gli Eps Col,-36.5827,-63.0814,-43.5998,160.12054,0.946,-0.79,3.86,1,276.98,1,11.77,4.33,1.936,-14.428,4.678,15.29,25859,52:54.4,52:54.4,39,wings,Col
77681,77681,HIP27628 HD39425 Gli Bet Col  Wezn,-11.2568,-20.5973,-11.9895,30.4653,0.968,1.02,3.12,1,85.93,1,37.94,1.5,-40.42,-30.452,-8.872,51.379,27628,53:08.6,53:08.6,40,body,Col
78259,78259,HIP28328 HD40808 Gli Eta Col,-50.819,-135.6072,-74.5224,536.6156,0.902,-2.1,3.96,1,530.94,1,6.14,8.47,-3.822,-29.521,0.222,29.768,28328,53:13.9,53:13.9,40,body,Col
108673,108673,HIP64241 HD114378 Gli Alp Com,1.9257,-1.2062,12.2465,2.25282,0.396,3.84,4.32,1,40.61,2,69.81,39.51,-29.094,-8.033,-19.855,36.128,64241,58:08.5,58:08.5,41,Coma,Com
108803,108803,HIP64394 HD114710 Gli Bet Com,0.5322,0.5045,9.1256,1.32226,0.54,4.42,4.23,1,29.85,1,109.23,0.66,-49.188,6.119,-11.593,50.905,64394,58:10.3,58:10.3,41,Coma,Com
105678,105678,HIP60742 HD108381 Gli Gam Com,-4.7413,-1.6923,51.894,38.39749,0.991,0.76,4.35,1,169.97,1,19.18,4.33,-10.75,-26.242,13.543,31.427,60742,57:40.1,57:40.1,41,Coma,Com
133072,133072,HIP93174 HD175813 Gli Eps CrA,28.5564,-0.228,-8.9039,8.1232,0.342,2.45,4.83,1,97.52,1,33.43,2.75,78.564,-14.237,-8.524,80.297,93174,01:53.1,01:53.1,42,Crown,CrA
133634,133634,HIP93825 HD177474 Gli Gam CrA,16.9441,0.0472,-5.747,5.05047,0.451,2.97,4.23,1,58.33,1,55.89,3.47,-32.837,-7.312,-1.146,33.66,93825,01:58.4,01:58.4,42,Crown,CrA
133875,133875,HIP94114 HD178253 Gli Alp CrA,37.4581,-0.3,-13.3331,27.85634,0.021,1.11,4.11,1,129.62,1,25.15,3.3,-8.117,-2.082,-16.557,18.557,94114,02:00.8,02:00.8,42,Crown,CrA
133916,133916,HIP94160 HD178345 Gli Bet CrA,146.1322,-4.7492,-53.7124,431.44955,0.902,-1.86,4.1,1,507.79,1,6.42,14.02,23.037,-10.529,-17.201,30.618,94160,02:01.1,02:01.1,42,Crown,CrA
133780,133780,HIP94005 HD177873 Gli Del CrA,50.1781,-2.7508,-18.5329,33.09111,0.946,0.93,4.57,1,174.61,1,18.67,4.45,21.044,0.133,-21.335,29.967,94005,01:59.9,01:59.9,42,Crown,CrA
133393,133393,HIP93542 HD176638 Gli Zet CrA,52.7871,-4.6993,-19.1156,31.30426,0.021,0.99,4.74,1,183.66,1,17.75,4.85,-7.252,0.882,-14.408,16.154,93542,01:56.1,01:56.1,42,Crown,CrA
118714,118714,HIP76127 HD138749 Gli The CrB,35.6278,41.9886,77.8152,155.75755,-0.083,-0.76,4.14,1,310.77,1,10.49,6.29,-10.28,-18.558,-14.123,25.486,76127,59:40.3,59:40.3,43,Crown,CrB
118341,118341,HIP75695 HD137909 Gli Bet CrB  Nusakan,13.8188,14.1047,28.8557,32.60378,0.266,0.94,3.66,1,113.99,1,28.6,2.41,-35.264,-22.829,-3.298,42.138,75695,59:36.7,59:36.7,43,Crown,CrB
118825,118825,HIP76267 HD139006 Gli Alp CrB  Alphecca,10.0822,9.0367,18.4806,52.7268,0.021,0.42,2.22,1,74.68,1,43.65,1.81,15.704,6.073,-3.302,17.158,76267,59:41.5,59:41.5,43,Crown,CrB
119421,119421,HIP76952 HD140436 Gli Gam CrB,20.47,18.2645,35.0173,45.9629,0.046,0.57,3.81,1,145.02,1,22.48,2.98,-26.322,-17.584,1.509,31.691,76952,59:46.6,59:46.6,43,Crown,CrB
119896,119896,HIP77512 HD141714 Gli Del CrB,24.0944,21.6002,39.0768,29.1492,0.706,1.06,4.59,1,165.4,1,19.71,3.7,-3.552,-26.089,1.635,26.38,77512,59:50.8,59:50.8,43,Crown,CrB
120433,120433,HIP78159 HD143107 Gli Eps CrB,33.5737,32.0314,52.9729,85.00088,1.038,-0.1,4.14,1,229.58,1,14.2,4.93,-7.116,-37.658,-1.915,38.372,78159,59:55.6,59:55.6,43,Crown,CrB
120710,120710,HIP78493 HD143807 Gli Iot CrB,47.4854,53.3049,80.5646,91.61541,0.021,-0.18,4.98,1,350.91,1,9.29,6.57,-13.495,-24.132,-1.407,27.685,78493,59:58.0,59:58.0,43,Crown,CrB
104331,104331,HIP59199 HD105452 Gli Alp Crv  Alchibah,4.1548,-11.0198,8.9119,4.17536,0.266,3.17,4.02,1,48.15,1,67.71,1.11,8.792,-2.535,4.153,10.048,59199,57:28.3,57:28.3,44,Corvus,Crv
104431,104431,HIP59316 HD105707 Gli Eps Crv  Minkar,25.3301,-67.4254,58.8687,416.08594,0.991,-1.82,3.02,1,303.26,1,10.75,6.6,-28.863,-14.462,-2.481,32.379,59316,57:29.1,57:29.1,44,Corvus,Crv
104861,104861,HIP59803 HD106625 Gli Gam Crv  Gienah Corvi,12.9132,-33.6666,35.4363,184.30937,-0.03,-0.94,2.58,1,164.81,1,19.78,4.1,-37.536,-11.04,-9.231,40.2,59803,57:33.1,57:33.1,44,Corvus,Crv
105868,105868,HIP60965 HD108767 Gli Del Crv  Algorab,8.0442,-16.8858,19.3984,37.5853,0.008,0.79,2.94,1,87.85,1,37.11,1.86,-11.99,-35.096,7.181,37.776,60965,57:41.9,57:41.9,44,Corvus,Crv
106202,106202,HIP61359 HD109379 Gli Bet Crv  Kraz,15.499,-29.3053,27.1416,124.10757,0.706,-0.51,2.65,1,139.67,1,23.34,3.43,3.225,-4.55,-3.677,6.68,61359,57:44.8,57:44.8,44,Corvus,Crv
103492,103492,HIP58188 HD103632 Gli Eta Crt,15.8142,-61.2722,60.5258,50.89414,0.021,0.46,5.17,1,285.46,1,11.42,7.27,-13.999,-22.961,6.674,27.708,58188,57:20.8,57:20.8,45,the cup part,Crt
102717,102717,HIP57283 HD102070 Gli Zet Crt,16.0278,-78.5359,71.5013,116.97702,0.82,-0.45,4.71,1,350.16,1,9.31,8.7,16.755,-2.856,2.54,17.185,57283,57:13.8,57:13.8,45,the cup part,Crt
101398,101398,HIP55705 HD99211 Gli Gam Crt,1.8414,-19.456,16.7009,12.19273,0.241,2.01,4.06,1,83.8,1,38.9,2.11,-10.602,-4.804,-3.352,12.113,55705,57:01.4,57:01.4,45,the cup part,Crt
